U+0205	ȅ	c8 85	LATIN SMALL LETTER E WITH DOUBLE GRAVE ACCENT
U+0206	Ȇ	c8 86	LATIN CAPITAL LETTER E WITH INVERTED BREVE
U+0207	ȇ	c8 87	LATIN SMALL LETTER E WITH INVERTED BREVE
U+0208	Ȉ	c8 88	LATIN CAPITAL LETTER I WITH DOUBLE GRAVE ACCENT
U+0209	ȉ	c8 89	LATIN SMALL LETTER I WITH DOUBLE GRAVE ACCENT
U+020A	Ȋ	c8 8a	LATIN CAPITAL LETTER I WITH INVERTED BREVE
U+020B	ȋ	c8 8b	LATIN SMALL LETTER I WITH INVERTED BREVE
U+020C	Ȍ	c8 8c	LATIN CAPITAL LETTER O WITH DOUBLE GRAVE ACCENT
U+020D	ȍ	c8 8d	LATIN SMALL LETTER O WITH DOUBLE GRAVE ACCENT
U+020E	Ȏ	c8 8e	LATIN CAPITAL LETTER O WITH INVERTED BREVE
U+020F	ȏ	c8 8f	LATIN SMALL LETTER O WITH INVERTED BREVE
U+0210	Ȑ	c8 90	LATIN CAPITAL LETTER R WITH DOUBLE GRAVE ACCENT
U+0211	ȑ	c8 91	LATIN SMALL LETTER R WITH DOUBLE GRAVE ACCENT
U+0212	Ȓ	c8 92	LATIN CAPITAL LETTER R WITH INVERTED BREVE
U+0213	ȓ	c8 93	LATIN SMALL LETTER R WITH INVERTED BREVE
U+0214	Ȕ	c8 94	LATIN CAPITAL LETTER U WITH DOUBLE GRAVE ACCENT
U+0215	ȕ	c8 95	LATIN SMALL LETTER U WITH DOUBLE GRAVE ACCENT
U+0216	Ȗ	c8 96	LATIN CAPITAL LETTER U WITH INVERTED BREVE
U+0217	ȗ	c8 97	LATIN SMALL LETTER U WITH INVERTED BREVE
U+0218	Ș	c8 98	LATIN CAPITAL LETTER S WITH COMMA BELOW
U+0219	ș	c8 99	LATIN SMALL LETTER S WITH COMMA BELOW
U+021A	Ț	c8 9a	LATIN CAPITAL LETTER T WITH COMMA BELOW
U+021B	ț	c8 9b	LATIN SMALL LETTER T WITH COMMA BELOW
U+021E	Ȟ	c8 9e	LATIN CAPITAL LETTER H WITH CARON
U+021F	ȟ	c8 9f	LATIN SMALL LETTER H WITH CARON
U+0226	Ȧ	c8 a6	LATIN CAPITAL LETTER A WITH DOT ABOVE
U+0227	ȧ	c8 a7	LATIN SMALL LETTER A WITH DOT ABOVE
U+0228	Ȩ	c8 a8	LATIN CAPITAL LETTER E WITH CEDILLA
U+0229	ȩ	c8 a9	LATIN SMALL LETTER E WITH CEDILLA
U+022E	Ȯ	c8 ae	LATIN CAPITAL LETTER O WITH DOT ABOVE
U+022F	ȯ	c8 af	LATIN SMALL LETTER O WITH DOT ABOVE
U+0232	Ȳ	c8 b2	LATIN CAPITAL LETTER Y WITH MACRON
U+0233	ȳ	c8 b3	LATIN SMALL LETTER Y WITH MACRON
